Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed ,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N
thin,in,1,0,1,TIn,3,I,1,4,10.11,In,2,I,1,2,11.8
tint,in,1,0,0,tInt,4,I,1,4,7.1,In,2,I,1,2,11.8
tune,in,1,0,0,tun,3,u,1,4,7.54,In,2,I,1,2,11.8
vein,in,1,0,0,ven,3,e,1,4,6.47,In,2,I,1,2,11.8
vine,in,1,0,0,vaIn,3,aI,1,4,7.96,In,2,I,1,2,11.8
win,in,3,0,1,wIn,3,I,1,3,8.23,In,2,I,1,2,11.8
wind,in,1,0,0,wInd,4,I,1,4,9.16,In,2,I,1,2,11.8
sense,incense,1,0,1,sEns,4,E,1,5,6.05,In.sEns,6,E,2,7,9
quest,incest,1,0,1,kwEst,5,E,1,5,9.6,In.sEst,6,I,2,6,6.8
hinge,inch,1,0,0,hIndZ,4,I,1,5,5.37,IntS,3,I,1,4,6.6
lunch,inch,1,0,0,lVntS,4,?,1,5,7.85,IntS,3,I,1,4,6.6
lynch,inch,3,0,1,lIntS,4,I,1,5,9.31,IntS,3,I,1,4,6.6
niche,inch,1,0,0,nItS,3,I,1,5,4.8,IntS,3,I,1,4,6.6
pinch,inch,17,0,1,pIntS,4,I,1,5,7.32,IntS,3,I,1,4,6.6
prince,inch,1,0,0,prIns,5,I,1,6,2.22,IntS,3,I,1,4,6.6
quench,inch,2,0,0,kwEntS,5,E,1,6,1.95,IntS,3,I,1,4,6.6
ranch,inch,1,0,0,rantS,4,a,1,5,1.45,IntS,3,I,1,4,6.6
rinse,inch,1,0,0,rIns,4,I,1,5,?,IntS,3,I,1,4,6.6
since,inch,2,0,0,sIns,4,I,1,5,5.13,IntS,3,I,1,4,6.6
line,incline,1,0,1,laIn,3,aI,1,4,8.22,In.klaIn,6,I,2,7,?
rate,inflate,1,0,1,ret,3,e,1,4,8.18,In.flet,6,e,2,7,5
strict,inflict,1,0,0,strIkt,6,I,1,6,?,In.flIkt,7,I,2,7,3.1
fuse,infuse,1,0,1,fjuz,4,u,1,4,5.22,In.fjuz,6,u,2,6,?
just,injustice,1,0,0,dZVst,4,?,1,4,7.32,In.dZV.stIs,8,?,3,9,?
bank,ink,1,0,0,baNk,4,a,1,4,7.49,INk,3,I,1,3,8.3
drink,ink,2,0,1,drINk,5,I,1,5,5.11,INk,3,I,1,3,8.3
irk,ink,2,0,0,3`k,2,3`,1,3,7.4,INk,3,I,1,3,8.3
link,ink,8,0,1,lINk,4,I,1,4,7.21,INk,3,I,1,3,8.3
mink,ink,8,0,1,mINk,4,I,1,4,8.43,INk,3,I,1,3,8.3
pink,ink,11,0,1,pINk,4,I,1,4,7.61,INk,3,I,1,3,8.3
pint,ink,1,0,0,paInt,4,aI,1,4,7.3,INk,3,I,1,3,8.3
rinse,ink,1,0,0,rIns,4,I,1,5,?,INk,3,I,1,3,8.3
shrink,ink,2,0,1,SrINk,5,I,1,6,6.35,INk,3,I,1,3,8.3
sink,ink,5,0,1,sINk,4,I,1,4,7.73,INk,3,I,1,3,8.3
sphinx,ink,1,0,0,sfINks,6,I,1,6,?,INk,3,I,1,3,8.3
stink,ink,3,0,1,stINk,5,I,1,5,6.66,INk,3,I,1,3,8.3
think,ink,8,0,1,TINk,4,I,1,5,8.14,INk,3,I,1,3,8.3
zinc,ink,6,0,1,zINk,4,I,1,4,5.39,INk,3,I,1,3,8.3
in,inn,3,0,1,In,2,I,1,2,11.79,In,2,I,1,3,8.3
wire,inquire,1,0,1,waIr,3,aI,1,4,8.43,In.kwaIr,6,aI,2,7,8.5
lane,insane,2,0,1,len,3,e,1,4,7.14,In.sen,5,e,2,6,?
mane,insane,1,0,1,men,3,e,1,4,8,In.sen,5,e,2,6,?
hide,inside,1,0,1,haId,3,aI,1,4,7.96,In.saId,5,aI,2,6,3.7
cyst,insist,1,0,1,sIst,4,I,1,4,10.8,In.sIst,6,I,2,6,?
twist,insist,1,0,1,twIst,5,I,1,5,0,In.sIst,6,I,2,6,?
greet,inspect,1,0,0,grit,4,i,1,5,8.16,In.spEkt,7,E,2,7,?
stall,install,1,0,1,stOl,4,O,1,5,9.15,In.stOl,6,O,2,7,?
bread,instead,1,0,1,brEd,4,E,1,5,8.43,In.stEd,6,E,2,7,?
friend,instead,1,0,0,frEnd,5,E,1,6,?,In.stEd,6,E,2,7,?
thread,instead,1,0,1,TrEd,4,E,1,6,9.83,In.stEd,6,E,2,7,?
league,intrigue,2,0,1,lig,3,i,1,6,?,In.trig,6,i,2,8,?
rude,intrude,1,0,1,rud,3,u,1,4,7.94,In.trud,6,u,2,7,?
fear,invoke,1,0,0,fIr,3,I,1,4,9.24,In.vok,5,o,2,6,?
solve,involve,1,0,1,sAlv,4,A,1,5,7.52,In.vAlv,6,A,2,7,?
fire,ire,3,0,1,faIr,3,aI,1,4,8.12,aIr,2,aI,1,3,7
lyre,ire,1,0,1,laIr,3,aI,1,4,6.35,aIr,2,aI,1,3,7
tire,ire,2,0,1,taIr,3,aI,1,4,7.59,aIr,2,aI,1,3,7
jerk,irk,4,0,1,dZ3`k,3,3`,1,4,5.44,3`k,2,3`,1,3,7.4
quirk,irk,10,0,1,kw3`k,4,3`,1,5,6.61,3`k,2,3`,1,3,7.4
smirk,irk,8,0,1,sm3`k,4,3`,1,5,5.12,3`k,2,3`,1,3,7.4
work,irk,2,0,1,w3`k,3,3`,1,4,9,3`k,2,3`,1,3,7.4
bliss,is,1,0,0,blIs,4,I,1,5,6.46,Iz,2,I,1,2,11.4
bruise,is,1,0,0,bruz,4,u,1,6,5.93,Iz,2,I,1,2,11.4
fish,is,1,0,0,fIS,3,I,1,4,7.76,Iz,2,I,1,2,11.4
gist,is,1,0,0,dZIst,4,I,1,4,7.3,Iz,2,I,1,2,11.4
guise,is,1,0,0,gaIz,3,aI,1,5,6.66,Iz,2,I,1,2,11.4
isle,is,5,0,0,aIl,2,aI,1,4,5.06,Iz,2,I,1,2,11.4
it,is,1,0,0,It,2,I,1,2,11.34,Iz,2,I,1,2,11.4
kiss,is,1,0,0,kIs,3,I,1,4,7.67,Iz,2,I,1,2,11.4
list,is,1,0,0,lIst,4,I,1,4,7.82,Iz,2,I,1,2,11.4
noise,is,1,0,0,nOIz,3,OI,1,5,6,Iz,2,I,1,2,11.4
poise,is,1,0,0,pOIz,3,OI,1,5,7.17,Iz,2,I,1,2,11.4
raise,is,2,0,0,rez,3,e,1,5,5.47,Iz,2,I,1,2,11.4
rise,is,1,0,0,raIz,3,aI,1,4,7.4,Iz,2,I,1,2,11.4
risk,is,1,0,0,rIsk,4,I,1,4,7.84,Iz,2,I,1,2,11.4
siege,is,1,0,0,sidZ,3,i,1,5,6.32,Iz,2,I,1,2,11.4
this,is,1,0,0,DIs,3,I,1,4,6.76,Iz,2,I,1,2,11.4
waist,is,1,0,0,west,4,e,1,5,5.84,Iz,2,I,1,2,11.4
wise,is,1,0,0,waIz,3,aI,1,4,8.37,Iz,2,I,1,2,11.4
isle,island,6,1,0,aIl,2,aI,1,4,5.06,aI.l@nd,5,aI.,2,6,7
isle,islands,1,1,0,aIl,2,aI,1,4,5.06,aI.l@ndz,6,aI.,2,7,?
aisle,isle,22,0,1,aIl,2,aI,1,5,5.57,aIl,2,aI,1,4,5.1
mile,isle,1,0,1,maIl,3,aI,1,4,8.02,aIl,2,aI,1,4,5.1
pile,isle,1,0,1,paIl,3,aI,1,4,7.57,aIl,2,aI,1,4,5.1
smile,isle,1,0,1,smaIl,4,aI,1,5,5.37,aIl,2,aI,1,4,5.1
is,isnt,1,0,0,Iz,2,I,1,2,11.39,dZuz,3,u,1,4,6.12
bit,it,2,0,1,bIt,3,I,1,3,9.43,It,2,I,1,2,11.3
bite,it,1,0,0,baIt,3,aI,1,4,7.52,It,2,I,1,2,11.3
blithe,it,1,0,0,blaID,4,aI,1,6,?,It,2,I,1,2,11.3
fit,it,3,0,1,fIt,3,I,1,3,8.46,It,2,I,1,2,11.3
fruit,it,1,0,0,frut,4,u,1,5,?,It,2,I,1,2,11.3
hit,it,3,0,1,hIt,3,I,1,3,9.11,It,2,I,1,2,11.3
kit,it,1,0,1,kIt,3,I,1,3,8.55,It,2,I,1,2,11.3
quit,it,2,0,1,kwIt,4,I,1,4,6.95,It,2,I,1,2,11.3
sit,it,2,0,1,sIt,3,I,1,3,8.69,It,2,I,1,2,11.3
site,it,1,0,0,saIt,3,aI,1,4,8.07,It,2,I,1,2,11.3
spit,it,1,0,1,spIt,4,I,1,4,7.49,It,2,I,1,2,11.3
suit,it,1,0,0,sut,3,u,1,4,7.2,It,2,I,1,2,11.3
suite,it,1,0,0,swit,4,i,1,5,8.68,It,2,I,1,2,11.3
wit,it,2,0,1,wIt,3,I,1,3,9.03,It,2,I,1,2,11.3
with,it,3,0,0,wIT,3,I,1,4,7.27,It,2,I,1,2,11.3
crutch,itch,1,0,0,krVtS,4,?,1,6,6.24,ItS,2,I,1,4,7.8
ditch,itch,12,0,1,dItS,3,I,1,5,7.68,ItS,2,I,1,4,7.8
filth,itch,1,0,0,fIlT,4,I,1,5,5.09,ItS,2,I,1,4,7.8
hitch,itch,5,0,1,hItS,3,I,1,5,7.37,ItS,2,I,1,4,7.8
itch,itch,1,0,1,ItS,2,I,1,4,7.84,ItS,2,I,1,4,7.8
niche,itch,5,0,1,nItS,3,I,1,5,4.8,ItS,2,I,1,4,7.8
pitch,itch,10,0,1,pItS,3,I,1,5,7.61,ItS,2,I,1,4,7.8
rich,itch,4,0,1,rItS,3,I,1,4,8.01,ItS,2,I,1,4,7.8
sketch,itch,1,0,0,skEtS,4,E,1,6,?,ItS,2,I,1,4,7.8
stitch,itch,12,0,1,stItS,4,I,1,6,7.82,ItS,2,I,1,4,7.8
switch,itch,8,0,1,swItS,4,I,1,6,6.22,ItS,2,I,1,4,7.8
which,itch,3,0,1,hwItS,4,I,1,5,?,ItS,2,I,1,4,7.8
witch,itch,5,0,1,wItS,3,I,1,5,7.56,ItS,2,I,1,4,7.8
cab,jab,1,0,1,kab,3,a,1,3,8.3,dZab,3,a,1,3,8
grab,jab,1,0,1,grab,4,a,1,4,7.48,dZab,3,a,1,3,8
job,jab,1,0,0,dZAb,3,A,1,3,7.04,dZab,3,a,1,3,8
stab,jab,1,1,0,stab,4,a,1,4,7.81,dZab,3,a,1,3,8
black,jack,2,0,1,blak,4,a,1,5,7.25,dZak,3,a,1,4,8.8
jerk,jack,1,0,0,dZ3`k,3,3`,1,4,5.44,dZak,3,a,1,4,8.8
lack,jack,1,0,1,lak,3,a,1,4,8.08,dZak,3,a,1,4,8.8
pack,jack,1,0,1,pak,3,a,1,4,8.55,dZak,3,a,1,4,8.8
tack,jack,1,0,1,tak,3,a,1,4,9.16,dZak,3,a,1,4,8.8
whack,jack,1,0,1,hwak,4,a,1,5,6.06,dZak,3,a,1,4,8.8
jack,jacket,1,1,0,dZak,3,a,1,4,8.82,dZa.k@t,5,a.,2,6,8.1
blade,jade,1,0,1,bled,4,e,1,5,6.8,dZed,3,e,1,4,6.8
fad,jade,1,0,0,fad,3,a,1,3,9.24,dZed,3,e,1,4,6.8
fade,jade,4,0,1,fed,3,e,1,4,7.35,dZed,3,e,1,4,6.8
grade,jade,1,0,1,gred,4,e,1,5,7.68,dZed,3,e,1,4,6.8
spade,jade,2,0,1,sped,4,e,1,5,7.35,dZed,3,e,1,4,6.8
jug,jag,1,0,0,dZVg,3,?,1,3,7.33,dZag,3,a,1,3,7.9
jug,jagged,1,0,0,dZVg,3,?,1,3,7.33,dZag.@d,5,a,2,6,4.6
ale,jail,1,0,1,el,2,e,1,3,8.58,dZel,3,e,1,4,8.1
frail,jail,2,0,1,frel,4,e,1,5,7.35,dZel,3,e,1,4,8.1
hail,jail,1,0,1,hel,3,e,1,4,8.48,dZel,3,e,1,4,8.1
mail,jail,1,0,1,mel,3,e,1,4,7.45,dZel,3,e,1,4,8.1
male,jail,1,0,1,mel,3,e,1,4,7.75,dZel,3,e,1,4,8.1
pale,jail,1,0,1,pel,3,e,1,4,7.54,dZel,3,e,1,4,8.1
steal,jail,1,1,0,stil,4,i,1,5,8.05,dZel,3,e,1,4,8.1
joke,jake,1,0,0,dZok,3,o,1,4,7.1,dZek,3,e,1,4,8.5
ham,jam,3,0,1,ham,3,a,1,3,8.73,dZam,3,a,1,3,8.5
hay,jam,1,0,0,he,2,e,1,3,9.96,dZam,3,a,1,3,8.5
jail,jam,1,0,0,dZel,3,e,1,4,8.12,dZam,3,a,1,3,8.5
jazz,jam,1,0,0,dZaz,3,a,1,4,?,dZam,3,a,1,3,8.5
ram,jam,4,0,1,ram,3,a,1,3,8.06,dZam,3,a,1,3,8.5
lane,jane,1,0,1,len,3,e,1,4,7.14,dZen,3,e,1,4,7.2
plain,jane,8,0,1,plen,4,e,1,5,6.55,dZen,3,e,1,4,7.2
plane,jane,1,0,1,plen,4,e,1,5,8.68,dZen,3,e,1,4,7.2
bar,jar,1,0,1,bAr,3,A,1,3,9.07,dZAr,3,A,1,3,9.2
car,jar,1,0,1,kAr,3,A,1,3,8.84,dZAr,3,A,1,3,9.2
carve,jar,2,0,0,kArv,4,A,1,5,5.45,dZAr,3,A,1,3,9.2
far,jar,1,0,1,fAr,3,A,1,3,9.01,dZAr,3,A,1,3,9.2
jack,jar,1,0,0,dZak,3,a,1,4,8.82,dZAr,3,A,1,3,9.2
jam,jar,1,1,0,dZam,3,a,1,3,8.52,dZAr,3,A,1,3,9.2
tar,jar,1,0,1,tAr,3,A,1,3,9.1,dZAr,3,A,1,3,9.2
aunt,jaunt,3,0,1,ant,3,a,1,4,7.11,dZOnt,4,O,1,5,4.8
gaunt,jaunt,2,0,1,gOnt,4,O,1,5,4.98,dZOnt,4,O,1,5,4.8
haunt,jaunt,3,0,1,hOnt,4,O,1,5,4.12,dZOnt,4,O,1,5,4.8
taunt,jaunt,4,0,1,tOnt,4,O,1,5,4.71,dZOnt,4,O,1,5,4.8
awe,jaw,1,0,1,O,1,O,1,3,8.24,dZO,2,O,1,3,8.2
bra,jaw,1,0,1,brA,3,?,1,3,6.93,dZO,2,O,1,3,8.2
claw,jaw,1,0,1,klO,3,?,1,4,6.4,dZO,2,O,1,3,8.2
gnaw,jaw,2,0,1,nO,2,O,1,4,7.13,dZO,2,O,1,3,8.2
law,jaw,2,0,1,lO,2,O,1,3,7.82,dZO,2,O,1,3,8.2
paw,jaw,1,0,1,pO,2,O,1,3,8.11,dZO,2,O,1,3,8.2
saw,jaw,1,0,1,sO,2,O,1,3,8.22,dZO,2,O,1,3,8.2
straw,jaw,1,0,1,strO,4,?,1,5,4.86,dZO,2,O,1,3,8.2
quay,jay,1,0,1,ki,2,i,1,4,6.53,dZe,2,e,1,3,9.6
as,jazz,6,0,1,az,2,a,1,2,10.87,dZaz,3,a,1,4,?
waltz,jazz,1,0,0,wOlts,5,O,1,5,?,dZaz,3,a,1,4,?
jazz,jazzy,1,1,0,dZaz,3,a,1,4,?,dZaz.i,4,a,2,5,?
else,jealous,2,0,0,Els,3,E,1,4,6.09,dZE.l@s,5,E.,2,7,5.9
cheap,jeep,2,0,1,tSip,3,i,1,5,7.64,dZip,3,i,1,4,7.6
creep,jeep,1,0,1,krip,4,i,1,5,6.92,dZip,3,i,1,4,7.6
leap,jeep,2,0,1,lip,3,i,1,4,7.02,dZip,3,i,1,4,7.6
sheep,jeep,1,0,1,Sip,3,i,1,5,8.26,dZip,3,i,1,4,7.6
steep,jeep,1,0,1,stip,4,i,1,5,7.48,dZip,3,i,1,4,7.6
sweep,jeep,1,0,1,swip,4,i,1,5,9.2,dZip,3,i,1,4,7.6
cheer,jeer,1,0,1,tSIr,3,I,1,5,7.77,dZIr,3,I,1,4,7.5
smear,jeer,1,0,1,smIr,4,I,1,5,7.58,dZIr,3,I,1,4,7.5
deaf,jeff,2,0,1,dEf,3,E,1,4,9.14,dZEf,3,E,1,4,?
jam,jelly,1,1,0,dZam,3,a,1,3,8.52,dZE.li,4,E.,2,5,6.4
clerk,jerk,16,0,1,kl3`k,4,3`,1,5,9.54,dZ3`k,3,3`,1,4,5.4
irk,jerk,5,0,1,3`k,2,3`,1,3,7.4,dZ3`k,3,3`,1,4,5.4
jack,jerk,1,0,0,dZak,3,a,1,4,8.82,dZ3`k,3,3`,1,4,5.4
quirk,jerk,5,0,1,kw3`k,4,3`,1,5,6.61,dZ3`k,3,3`,1,4,5.4
smirk,jerk,3,0,1,sm3`k,4,3`,1,5,5.12,dZ3`k,3,3`,1,4,5.4
work,jerk,4,0,1,w3`k,3,3`,1,4,9,dZ3`k,3,3`,1,4,5.4
jerk,jerky,2,1,0,dZ3`k,3,3`,1,4,5.44,dZ3`k.i,4,3`,2,5,7.8
best,jest,1,0,1,bEst,4,E,1,4,8.22,dZEst,4,E,1,4,9.1
flesh,jest,1,0,0,flES,4,E,1,5,9.26,dZEst,4,E,1,4,9.1
guest,jest,1,0,1,gEst,4,E,1,5,10.36,dZEst,4,E,1,4,9.1
just,jest,1,0,0,dZVst,4,?,1,4,7.32,dZEst,4,E,1,4,9.1
lest,jest,2,0,1,lEst,4,E,1,4,9.5,dZEst,4,E,1,4,9.1
nest,jest,1,0,1,nEst,4,E,1,4,8.88,dZEst,4,E,1,4,9.1
pest,jest,2,0,1,pEst,4,E,1,4,8.85,dZEst,4,E,1,4,9.1
quest,jest,1,0,1,kwEst,5,E,1,5,9.6,dZEst,4,E,1,4,9.1
zest,jest,4,0,1,zEst,4,E,1,4,9.35,dZEst,4,E,1,4,9.1
get,jet,1,0,1,gEt,3,E,1,3,9.65,dZEt,3,E,1,3,9.4
let,jet,1,0,1,lEt,3,E,1,3,9.49,dZEt,3,E,1,3,9.4
net,jet,2,0,1,nEt,3,E,1,3,9.98,dZEt,3,E,1,3,9.4
pet,jet,1,0,1,pEt,3,E,1,3,9.78,dZEt,3,E,1,3,9.4
vet,jet,1,0,1,vEt,3,E,1,3,9.89,dZEt,3,E,1,3,9.4
wet,jet,1,0,1,wEt,3,E,1,3,9.93,dZEt,3,E,1,3,9.4
ewe,jew,1,0,1,ju,2,u,1,3,8.41,dZu,2,u,1,3,7.5
who,jew,1,0,1,hu,2,u,1,3,8.19,dZu,2,u,1,3,7.5
crib,jib,1,0,1,krIb,4,I,1,4,6.08,dZIb,3,I,1,3,7.3
fib,jib,1,0,1,fIb,3,I,1,3,7.43,dZIb,3,I,1,3,7.3
rib,jib,1,0,1,rIb,3,I,1,3,7.41,dZIb,3,I,1,3,7.3
dig,jig,1,0,1,dIg,3,I,1,3,8.35,dZIg,3,I,1,3,8
fig,jig,2,0,1,fIg,3,I,1,3,7.74,dZIg,3,I,1,3,8
gig,jig,3,0,1,gIg,3,I,1,3,7.61,dZIg,3,I,1,3,8
jog,jig,1,0,0,dZAg,3,A,1,3,8.27,dZIg,3,I,1,3,8
pig,jig,1,0,1,pIg,3,I,1,3,7.86,dZIg,3,I,1,3,8
twig,jig,1,0,1,twIg,4,I,1,4,6.79,dZIg,3,I,1,3,8
guilt,jilt,1,0,1,gIlt,4,I,1,5,8.07,dZIlt,4,I,1,4,6.2
gem,jim,1,0,0,dZEm,3,E,1,3,7.93,dZIm,3,I,1,3,8.5
gym,jim,2,0,1,dZIm,3,I,1,3,5.52,dZIm,3,I,1,3,8.5
him,jim,1,0,1,hIm,3,I,1,3,8.37,dZIm,3,I,1,3,8.5
prim,jim,2,0,1,prIm,4,I,1,4,6.38,dZIm,3,I,1,3,8.5
rim,jim,1,0,1,rIm,3,I,1,3,9.13,dZIm,3,I,1,3,8.5
slim,jim,8,0,1,slIm,4,I,1,4,7.41,dZIm,3,I,1,3,8.5
swim,jim,1,0,1,swIm,4,I,1,4,5.58,dZIm,3,I,1,3,8.5
lynx,jinx,5,0,1,lINks,5,I,1,4,9.46,dZINks,5,I,1,4,4.7
sphinx,jinx,6,0,1,sfINks,6,I,1,6,?,dZINks,5,I,1,4,4.7
jet,jittery,1,0,0,dZEt,3,E,1,3,9.43,dZI.4@`.i,5,I,3,7,5
bribe,jive,1,0,0,braIb,4,aI,1,5,7.69,dZaIv,3,aI,1,4,8.5
dive,jive,4,0,1,daIv,3,aI,1,4,8.23,dZaIv,3,aI,1,4,8.5
five,jive,6,0,1,faIv,3,aI,1,4,8.56,dZaIv,3,aI,1,4,8.5
give,jive,1,0,0,gIv,3,I,1,4,7.51,dZaIv,3,aI,1,4,8.5
hive,jive,9,0,1,haIv,3,aI,1,4,9.02,dZaIv,3,aI,1,4,8.5
jazz,jive,1,0,0,dZaz,3,a,1,4,?,dZaIv,3,aI,1,4,8.5
live,jive,2,0,1,lIv,3,I,1,4,8.63,dZaIv,3,aI,1,4,8.5
slide,jive,1,0,0,slaId,4,aI,1,5,6.62,dZaIv,3,aI,1,4,8.5
strive,jive,2,0,1,straIv,5,aI,1,6,6.33,dZaIv,3,aI,1,4,8.5
joust,jo,1,0,0,dZaUst,4,aU,1,5,3.95,dZo,2,o,1,2,11
jog,job,1,0,0,dZAg,3,A,1,3,8.27,dZAb,3,A,1,3,7
mob,job,3,0,1,mAb,3,A,1,3,7.25,dZAb,3,A,1,3,7
rob,job,1,0,1,rAb,3,A,1,3,7.49,dZAb,3,A,1,3,7
jack,jock,1,0,0,dZak,3,a,1,4,8.82,dZAk,3,A,1,4,8
lock,jock,1,0,1,lAk,3,A,1,4,7.97,dZAk,3,A,1,4,8
rock,jock,2,0,1,rAk,3,A,1,4,7.14,dZAk,3,A,1,4,8
walk,jock,1,0,1,wOk,3,O,1,4,6.69,dZAk,3,A,1,4,8
doe,joe,1,0,1,do,2,o,1,3,8.45,dZo,2,o,1,3,7.5
flow,joe,1,0,1,flo,3,?,1,4,7.17,dZo,2,o,1,3,7.5
hoe,joe,1,0,1,ho,2,o,1,3,7.64,dZo,2,o,1,3,7.5
hog,jog,1,0,1,hOg,3,O,1,3,7.95,dZAg,3,A,1,3,8.3
log,jog,1,0,1,lOg,3,O,1,3,7.88,dZAg,3,A,1,3,8.3
smog,jog,1,0,1,smAg,4,A,1,4,5.64,dZAg,3,A,1,3,8.3
coin,join,8,0,1,kOIn,3,OI,1,4,6.87,dZOIn,3,OI,1,4,8
joint,join,8,0,0,dZOInt,4,OI,1,5,8,dZOIn,3,OI,1,4,8
blunt,joint,1,0,0,blVnt,5,?,1,5,3.14,dZOInt,4,OI,1,5,8
point,joint,16,0,1,pOInt,4,OI,1,5,10.1,dZOInt,4,OI,1,5,8
broke,joke,2,0,1,brok,4,o,1,5,7.76,dZok,3,o,1,4,7.1
choke,joke,1,0,1,tSok,3,o,1,5,5.12,dZok,3,o,1,4,7.1
cloak,joke,1,0,1,klok,4,o,1,5,7.66,dZok,3,o,1,4,7.1
coke,joke,3,0,1,kok,3,o,1,4,8.46,dZok,3,o,1,4,7.1
croak,joke,3,0,1,krok,4,o,1,5,6.9,dZok,3,o,1,4,7.1
fluke,joke,1,0,0,fluk,4,u,1,5,5.46,dZok,3,o,1,4,7.1
jerk,joke,1,0,0,dZ3`k,3,3`,1,4,5.44,dZok,3,o,1,4,7.1
prank,joke,1,0,0,praNk,5,a,1,5,6.53,dZok,3,o,1,4,7.1
smoke,joke,6,0,1,smok,4,o,1,5,6.43,dZok,3,o,1,4,7.1
soak,joke,1,0,1,sok,3,o,1,4,5.85,dZok,3,o,1,4,7.1
stroke,joke,1,0,1,strok,5,o,1,6,7.13,dZok,3,o,1,4,7.1
yolk,joke,4,0,1,jok,3,o,1,4,10.34,dZok,3,o,1,4,7.1
joke,joker,1,1,0,dZok,3,o,1,4,7.1,dZok.@`,4,o,2,5,7.8
hoax,jokes,3,0,1,hoks,4,o,1,4,5.41,dZoks,4,o,1,5,5.7
bolt,jolt,11,0,1,bolt,4,o,1,4,7.73,dZolt,4,o,1,4,6.2
colt,jolt,4,0,1,kolt,4,o,1,4,7.28,dZolt,4,o,1,4,6.2
dolt,jolt,7,0,1,dolt,4,o,1,4,7.85,dZolt,4,o,1,4,6.2
fault,jolt,1,0,0,fOlt,4,O,1,5,7.98,dZolt,4,o,1,4,6.2
halt,jolt,1,0,0,hOlt,4,O,1,4,7.45,dZolt,4,o,1,4,6.2
volt,jolt,7,0,1,volt,4,o,1,4,6.7,dZolt,4,o,1,4,6.2
dot,jot,1,0,1,dAt,3,A,1,3,9.29,dZAt,3,A,1,3,9.5
joust,jot,1,0,0,dZaUst,4,aU,1,5,3.95,dZAt,3,A,1,3,9.5
joy,jot,1,0,0,dZOI,2,OI,1,3,8.75,dZAt,3,A,1,3,9.5
rot,jot,1,0,1,rAt,3,A,1,3,8.92,dZAt,3,A,1,3,9.5
blouse,joust,1,0,0,blaUs,4,aU,1,6,?,dZaUst,4,aU,1,5,4
just,joust,2,0,0,dZVst,4,?,1,4,7.32,dZaUst,4,aU,1,5,4
toy,joy,1,0,1,tOI,2,O,1,3,9.06,dZOI,2,OI,1,3,8.7
badge,judge,1,0,0,badZ,3,a,1,5,4.66,dZVdZ,3,?,1,5,5
fudge,judge,8,0,1,fVdZ,3,?,1,5,7.73,dZVdZ,3,?,1,5,5
hedge,judge,1,0,0,hEdZ,3,E,1,5,7.62,dZVdZ,3,?,1,5,5
love,judge,1,0,0,lVv,3,?,1,4,7.08,dZVdZ,3,?,1,5,5
judge,judy,1,0,0,dZVdZ,3,?,1,5,5.05,dZu.4i,4,?,2,4,7.9
plug,jug,1,0,1,plVg,4,?,1,4,8.89,dZVg,3,?,1,3,7.3
tug,jug,1,0,1,tVg,3,?,1,3,6.9,dZVg,3,?,1,3,7.3
lace,juice,1,0,0,les,3,e,1,4,7.28,dZus,3,u,1,5,7.1
loose,juice,1,0,1,lus,3,u,1,5,6.5,dZus,3,u,1,5,7.1
mousse,juice,2,0,1,mus,3,u,1,6,3.09,dZus,3,u,1,5,7.1
juice,juke,1,0,0,dZus,3,u,1,5,7.15,dZuk,3,u,1,4,8.1
puke,juke,1,0,1,pjuk,4,u,1,4,6.68,dZuk,3,u,1,4,8.1
bump,jump,1,0,1,bVmp,4,?,1,4,7.13,dZVmp,4,?,1,4,7.6
dump,jump,1,0,1,dVmp,4,?,1,4,7.93,dZVmp,4,?,1,4,7.6
lump,jump,2,0,1,lVmp,4,?,1,4,8,dZVmp,4,?,1,4,7.6
pump,jump,2,0,1,pVmp,4,?,1,4,7.36,dZVmp,4,?,1,4,7.6
stump,jump,2,0,1,stVmp,5,?,1,5,7.45,dZVmp,4,?,1,4,7.6
up,jump,1,0,0,Vp,2,?,1,2,10.59,dZVmp,4,?,1,4,7.6
dune,june,5,0,1,dun,3,u,1,4,7.47,dZun,3,u,1,4,7.2
jazz,june,1,0,0,dZaz,3,a,1,4,?,dZun,3,u,1,4,7.2
moon,june,2,0,1,mun,3,u,1,4,7.16,dZun,3,u,1,4,7.2
prune,june,1,0,1,prun,4,u,1,5,6.73,dZun,3,u,1,4,7.2
bunk,junk,2,0,1,bVNk,4,?,1,4,7.21,dZVNk,4,?,1,4,7.5
dunk,junk,1,0,1,dVNk,4,?,1,4,7.31,dZVNk,4,?,1,4,7.5
flunk,junk,3,0,1,flVNk,5,?,1,5,5.57,dZVNk,4,?,1,4,7.5
skunk,junk,1,0,1,skVNk,5,?,1,5,5.06,dZVNk,4,?,1,4,7.5
stuff,junk,1,1,0,stVf,4,?,1,5,8.03,dZVNk,4,?,1,4,7.5
truck,junk,1,0,0,trVk,4,?,1,5,8.83,dZVNk,4,?,1,4,7.5
trunk,junk,7,0,1,trVNk,5,?,1,5,8.1,dZVNk,4,?,1,4,7.5
judge,jury,1,0,0,dZVdZ,3,?,1,5,5.05,dZU.ri,4,U.,2,4,7.3
